1,2,5062
2,18,1639
2,1,1000
3,4,1035
3,18,2240
6,5,359
6,23,16894
6,26,3563
7,8,5822
10,9,7211
10,11,11035
11,12,6217
11,27,23044
12,16,34871
12,39,2051
14,13,20
14,15,2194
14,17,3782
19,16,40717
20,21,1022
20,30,30072
20,37,3857
23,22,11847
23,24,7008
24,5,14064
24,27,8554
25,5,9811
27,22,5033
28,29,2082
28,18,1270
31,32,1970
31,22,5936
31,33,1666
34,35,4081
36,9,4476
36,40,6579
37,38,9119
37,67,35318
40,41,2197
42,43,9588
44,42,4550
45,43,7050
45,46,3798
45,61,7746
48,47,23908
48,123,18515
47,73,70292
49,50,7896
50,51,5296
53,52,27603
53,58,35816
53,98,26210
54,55,4598
54,84,6095
55,98,24923
57,56,18510
59,60,40089
61,62,1838
61,118,8518
62,63,9695
62,65,7958
63,64,26987
64,68,949
65,66,16192
66,69,26334
66,109,11876
66,110,6058
67,69,10320
67,90,35063
68,69,61854
68,71,1290
70,71,10411
70,72,4126
70,73,18028
72,101,36775
73,111,13660
74,75,1260
76,77,2206
76,85,2647
78,47,15736
78,79,9750
80,81,18867
81,107,3638
82,80,77519
82,60,17753
83,56,40801
83,93,4205
83,88,1238
84,86,16428
87,86,12096
87,88,13470
87,95,3601
88,86,22098
89,60,7151
91,92,5454
95,94,11835
96,97,7315
97,106,15075
99,100,4519
99,120,3220
102,103,2731
104,105,4631
108,80,695
112,113,8225
114,115,6257
116,94,3601
116,117,8158
118,119,7116
121,122,12757
125,124,15539
126,127,155
129,128,1191
129,130,1465
48,47,23908
130,131,3156
131,132,2628
130,128,851
133,128,751
134,135,1056
136,137,2698
138,137,1729
139,140,1341
136,139,5323
134,141,5006
132,128,3441
142,132,367
139,141,2555
143,132,4897
143,144,835
136,145,2750
134,146,1059
147,148,19332
150,149,1757
151,152,5817
153,154,19055
155,156,14189
157,158,14852
155,159,1293
160,158,1080
161,158,6783
163,162,2676
164,165,12795
165,166,2475
167,166,9690
168,169,30616
170,171,4831
172,173,6832
174,175,12330
176,177,13313
178,124,4845
124,179,7540
180,181,1289
182,183,11157
184,185,6034
186,187,3808
184,188,10831
189,186,29908
125,190,5320
191,179,12891
193,192,10113
194,192,11567
195,196,942
197,198,1934
197,199,2612
195,200,1637
201,202,13344
147,203,587
204,205,9492
163,164,3356
164,206,3429
160,161,4368
159,160,4861
155,207,13460
208,209,7584
210,211,10427
210,212,33695
214,213,12994
215,213,1716
216,217,5185
218,219,10262
216,220,1312
220,221,2983
223,222,5262
224,222,3896
225,222,3854
225,226,2779
227,228,865
229,230,3889
231,229,3137
232,233,11988
235,234,829
236,5080
227,236,7824
236,237,8010
238,230,4599
240,239,5033
234,241,4967
126,242,606
126,243
244,245,5119,
172,246,7584
246,247,20286
